task,prompt,gamma,num_tokens,elapsed_sec,tokens_per_sec
code,Create a Python decorator that caches function results with a TTL expiry.,6,200,1.812,110.3
math,"Solve step by step: If 3x + 7 = 22, what is x?",6,187,1.498,124.8
math,A train travels 120 km in 2 hours. It then travels 180 km in 3 hours. What is it,6,158,1.268,124.6
math,Calculate the derivative of f(x) = x^3 * sin(x). Show your work.,6,200,1.502,133.2
math,"If a rectangle has a perimeter of 30 and a width of 5, what is its area?",6,200,1.402,142.7
math,Solve: The sum of three consecutive integers is 72. What are they?,6,200,1.662,120.3
chat,What are the pros and cons of remote work? Give a balanced view.,6,200,1.701,117.6
chat,Explain quantum computing to a 10-year-old.,6,200,2.413,82.9
chat,What are some healthy meal prep ideas for a busy week?,6,200,1.71,116.9
chat,Recommend 5 books for someone who loved Sapiens by Yuval Noah Harari.,6,200,2.38,84.0
chat,What's the difference between machine learning and deep learning?,6,200,2.246,89.0
summarization,Summarize the key ideas behind the theory of relativity in 5 bullet points.,6,200,1.95,102.6
summarization,Explain the main events of World War II in a concise paragraph.,6,200,1.735,115.3
summarization,Summarize how the internet works in simple terms.,6,200,2.222,90.0
summarization,Give a brief overview of the history of artificial intelligence.,6,200,1.665,120.1
summarization,Summarize the plot of Romeo and Juliet in 3 sentences.,6,91,0.975,93.3
code,Write a Python function that implements binary search on a sorted list.,8,200,2.02,99.0
code,"Write a Python class for a linked list with insert, delete, and search methods.",8,200,1.41,141.9
code,Implement quicksort in Python with detailed comments.,8,200,1.573,127.1
code,Write a Python function to find all prime numbers up to n using the Sieve of Era,8,200,1.972,101.4
code,Create a Python decorator that caches function results with a TTL expiry.,8,200,2.03,98.5
math,"Solve step by step: If 3x + 7 = 22, what is x?",8,187,1.584,118.1
math,A train travels 120 km in 2 hours. It then travels 180 km in 3 hours. What is it,8,158,1.35,117.0
math,Calculate the derivative of f(x) = x^3 * sin(x). Show your work.,8,200,1.538,130.1
math,"If a rectangle has a perimeter of 30 and a width of 5, what is its area?",8,200,1.412,141.6
math,Solve: The sum of three consecutive integers is 72. What are they?,8,200,1.685,118.7
chat,What are the pros and cons of remote work? Give a balanced view.,8,200,1.97,101.5
chat,Explain quantum computing to a 10-year-old.,8,200,2.822,70.9
chat,What are some healthy meal prep ideas for a busy week?,8,200,1.861,107.5
chat,Recommend 5 books for someone who loved Sapiens by Yuval Noah Harari.,8,200,2.649,75.5
chat,What's the difference between machine learning and deep learning?,8,200,2.713,73.7
summarization,Summarize the key ideas behind the theory of relativity in 5 bullet points.,8,200,2.089,95.7
summarization,Explain the main events of World War II in a concise paragraph.,8,200,1.8,111.1
summarization,Summarize how the internet works in simple terms.,8,200,2.428,82.4
summarization,Give a brief overview of the history of artificial intelligence.,8,200,1.92,104.2
summarization,Summarize the plot of Romeo and Juliet in 3 sentences.,8,91,1.109,82.1
code,Write a Python function that implements binary search on a sorted list.,10,200,2.273,88.0
code,"Write a Python class for a linked list with insert, delete, and search methods.",10,200,1.411,141.8
code,Implement quicksort in Python with detailed comments.,10,200,1.624,123.1
code,Write a Python function to find all prime numbers up to n using the Sieve of Era,10,200,2.138,93.6
code,Create a Python decorator that caches function results with a TTL expiry.,10,200,2.208,90.6
math,"Solve step by step: If 3x + 7 = 22, what is x?",10,187,1.612,116.0
math,A train travels 120 km in 2 hours. It then travels 180 km in 3 hours. What is it,10,158,1.328,119.0
math,Calculate the derivative of f(x) = x^3 * sin(x). Show your work.,10,200,1.489,134.3
math,"If a rectangle has a perimeter of 30 and a width of 5, what is its area?",10,200,1.381,144.8
math,Solve: The sum of three consecutive integers is 72. What are they?,10,200,1.87,106.9
chat,What are the pros and cons of remote work? Give a balanced view.,10,200,2.007,99.7
chat,Explain quantum computing to a 10-year-old.,10,200,3.157,63.4
chat,What are some healthy meal prep ideas for a busy week?,10,200,1.87,107.0
chat,Recommend 5 books for someone who loved Sapiens by Yuval Noah Harari.,10,200,3.078,65.0
chat,What's the difference between machine learning and deep learning?,10,200,3.02,66.2
summarization,Summarize the key ideas behind the theory of relativity in 5 bullet points.,10,200,2.403,83.2
summarization,Explain the main events of World War II in a concise paragraph.,10,200,2.021,99.0
summarization,Summarize how the internet works in simple terms.,10,200,2.858,70.0
summarization,Give a brief overview of the history of artificial intelligence.,10,200,1.97,101.5
summarization,Summarize the plot of Romeo and Juliet in 3 sentences.,10,91,1.128,80.7
