task,prompt,gamma,num_tokens,elapsed_sec,tokens_per_sec
chat,What's the difference between machine learning and deep learning?,6,200,2.257,88.6
summarization,Summarize the key ideas behind the theory of relativity in 5 bullet points.,6,200,1.944,102.9
summarization,Explain the main events of World War II in a concise paragraph.,6,200,1.721,116.2
summarization,Summarize how the internet works in simple terms.,6,200,2.225,89.9
summarization,Give a brief overview of the history of artificial intelligence.,6,200,1.698,117.8
summarization,Summarize the plot of Romeo and Juliet in 3 sentences.,6,91,0.992,91.7
code,Write a Python function that implements binary search on a sorted list.,8,200,2.043,97.9
code,"Write a Python class for a linked list with insert, delete, and search methods.",8,200,1.434,139.5
code,Implement quicksort in Python with detailed comments.,8,200,1.594,125.5
code,Write a Python function to find all prime numbers up to n using the Sieve of Era,8,200,2.008,99.6
code,Create a Python decorator that caches function results with a TTL expiry.,8,200,2.064,96.9
math,"Solve step by step: If 3x + 7 = 22, what is x?",8,187,1.587,117.8
math,A train travels 120 km in 2 hours. It then travels 180 km in 3 hours. What is it,8,158,1.363,115.9
math,Calculate the derivative of f(x) = x^3 * sin(x). Show your work.,8,200,1.54,129.9
math,"If a rectangle has a perimeter of 30 and a width of 5, what is its area?",8,200,1.426,140.2
math,Solve: The sum of three consecutive integers is 72. What are they?,8,200,1.679,119.1
chat,What are the pros and cons of remote work? Give a balanced view.,8,200,1.99,100.5
chat,Explain quantum computing to a 10-year-old.,8,200,2.863,69.9
chat,What are some healthy meal prep ideas for a busy week?,8,200,1.889,105.9
chat,Recommend 5 books for someone who loved Sapiens by Yuval Noah Harari.,8,200,2.692,74.3
chat,What's the difference between machine learning and deep learning?,8,200,2.753,72.6
summarization,Summarize the key ideas behind the theory of relativity in 5 bullet points.,8,200,2.115,94.6
summarization,Explain the main events of World War II in a concise paragraph.,8,200,1.829,109.3
summarization,Summarize how the internet works in simple terms.,8,200,2.439,82.0
summarization,Give a brief overview of the history of artificial intelligence.,8,200,1.922,104.1
summarization,Summarize the plot of Romeo and Juliet in 3 sentences.,8,91,1.109,82.0
code,Write a Python function that implements binary search on a sorted list.,10,200,2.27,88.1
code,"Write a Python class for a linked list with insert, delete, and search methods.",10,200,1.427,140.1
code,Implement quicksort in Python with detailed comments.,10,200,1.681,119.0
code,Write a Python function to find all prime numbers up to n using the Sieve of Era,10,200,2.149,93.1
code,Create a Python decorator that caches function results with a TTL expiry.,10,200,2.215,90.3
math,"Solve step by step: If 3x + 7 = 22, what is x?",10,187,1.612,116.0
math,A train travels 120 km in 2 hours. It then travels 180 km in 3 hours. What is it,10,158,1.334,118.4
math,Calculate the derivative of f(x) = x^3 * sin(x). Show your work.,10,200,1.473,135.7
math,"If a rectangle has a perimeter of 30 and a width of 5, what is its area?",10,200,1.41,141.8
math,Solve: The sum of three consecutive integers is 72. What are they?,10,200,1.882,106.2
chat,What are the pros and cons of remote work? Give a balanced view.,10,200,2.018,99.1
chat,Explain quantum computing to a 10-year-old.,10,200,3.169,63.1
chat,What are some healthy meal prep ideas for a busy week?,10,200,1.879,106.4
chat,Recommend 5 books for someone who loved Sapiens by Yuval Noah Harari.,10,200,3.101,64.5
chat,What's the difference between machine learning and deep learning?,10,200,3.027,66.1
summarization,Summarize the key ideas behind the theory of relativity in 5 bullet points.,10,200,2.41,83.0
summarization,Explain the main events of World War II in a concise paragraph.,10,200,2.007,99.7
summarization,Summarize how the internet works in simple terms.,10,200,2.841,70.4
summarization,Give a brief overview of the history of artificial intelligence.,10,200,1.966,101.7
summarization,Summarize the plot of Romeo and Juliet in 3 sentences.,10,91,1.129,80.6
